21.07.2023                                        Salida dinámica de lista                                                                                             1


	Documento	GTr	Denomin.	ClVt	Denominación	Solic.	Creado el	Fecha doc.	Pedido	Func.	Responsab	Creado	OrgVt	CDis	Se	OfVta	GVen	Mon.	 Valor neto
	903147781	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666500			JOBS	1000	01	01	E001	G01	COP	    21,579
	903147782	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666500			JOBS	1000	01	01	E001	G01	COP	    21,579
	903147783	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	    24,796
	903147784	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666499			JOBS	1000	01	01	E001	G01	COP	    39,327
	903147785	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	   111,933
	903147786	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666562			JOBS	1100	20	01	N001	N02	COP	    33,480
	903147787	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	    68,840
	903147788	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666562			JOBS	1100	20	01	N001	N02	COP	    65,826
	903147789	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666552			JOBS	1000	01	01	E001	G01	COP	   569,736
	903147790	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666562			JOBS	1100	20	01	N001	N02	COP	   161,866
	903147791	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666552			JOBS	1000	01	01	E001	G01	COP	   144,756
	903147792	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666562			JOBS	1100	20	01	N001	N02	COP	   201,246
	903147793	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	    15,994
	903147794	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666552			JOBS	1000	01	01	E001	G01	COP	   284,862
	903147795	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666552			JOBS	1000	01	01	E001	G01	COP	   950,940
	903147796	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666552			JOBS	1000	01	01	E001	G01	COP	   817,392
	903147797	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	    53,378
	903147798	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666499			JOBS	1000	01	01	E001	G01	COP	   104,872
	903147799	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	   219,426
	903147800	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	    16,128
	903147801	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	    39,126
	903147802	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666500			JOBS	1000	01	01	E001	G01	COP	    61,914
	903147803	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666562			JOBS	1100	20	01	N001	N02	COP	    67,326
	903147804	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	    59,602
	903147805	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666500			JOBS	1000	01	01	E001	G01	COP	    21,579
	903147806	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666500			JOBS	1000	01	01	E001	G01	COP	    37,512
	903147807	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	    25,273
	903147808	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	   166,950
	903147809	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	   114,821
	903147810	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666562			JOBS	1100	20	01	N001	N02	COP	    32,346
	903147811	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	   101,640
	903147812	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666562			JOBS	1100	20	01	N001	N02	COP	    67,692
	903147813	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666556			JOBS	1000	01	01	E001	G01	COP	   350,928
	903147814	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666552			JOBS	1000	01	01	E001	G01	COP	   330,708
	903147815	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666556			JOBS	1000	01	01	E001	G01	COP	   100,638
	903147816	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666556			JOBS	1000	01	01	E001	G01	COP	   278,328
	903147817	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666556			JOBS	1000	01	01	E001	G01	COP	   367,056
	903147818	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666559			JOBS	1100	20	01	N001	N02	COP	    98,805
	903147819	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666556			JOBS	1000	01	01	E001	G01	COP	   278,328
	903147820	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666555			JOBS	1100	20	01	N001	N02	COP	    98,805
	903147821	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666556			JOBS	1000	01	01	E001	G01	COP	   260,838
	903147822	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	   376,669
	903147823	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666562			JOBS	1100	20	01	N001	N02	COP	   169,230
	903147824	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666555			JOBS	1100	20	01	N001	N02	COP	    83,136
	903147825	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666555			JOBS	1100	20	01	N001	N02	COP	    98,805
	903147826	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	    14,924
	903147827	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	   100,267
	903147828	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666562			JOBS	1100	20	01	N001	N02	COP	    33,846
	903147829	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	   119,664
	903147830	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666503			JOBS	1000	01	01	E001	G01	COP	    17,142
	903147831	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666555			JOBS	1100	20	01	N001	N02	COP	    98,805
	903147832	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666562			JOBS	1100	20	01	N001	N02	COP	   440,652
	903147833	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666556			JOBS	1000	01	01	E001	G01	COP	   238,248
	903147834	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	    14,723
	903147835	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	   134,169
	903147836	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	    53,647
	903147837	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666503			JOBS	1000	01	01	E001	G01	COP	    17,142
	903147838	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	    53,774
	903147839	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	    70,522
	903147840	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	    91,215
	903147841	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	   143,664
	903147842	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666503			JOBS	1000	01	01	E001	G01	COP	    35,293
	903147843	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666503			JOBS	1000	01	01	E001	G01	COP	     5,714
	903147844	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666502			JOBS	1000	01	01	E001	G01	COP	    13,378
	903147845	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666503			JOBS	1000	01	01	E001	G01	COP	    47,730
	903147846	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	   216,557
	903147847	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666503			JOBS	1000	01	01	E001	G01	COP	    36,302
	903147848	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	   111,553
	903147849	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	   343,026
	903147850	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666503			JOBS	1000	01	01	E001	G01	COP	    70,251
	903147851	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	     5,646
	903147852	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	   305,351
	903147853	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	    19,356
	903147854	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	    23,982
	903147855	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	   328,076
	903147856	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	   476,493
	903147857	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	    17,815
	903147858	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	    30,185
	903147859	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	    40,941
	903147860	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	   409,860
	903147861	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	     4,637
	903147862	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	    34,689
	903147863	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666498			JOBS	1000	01	01	E001	G01	COP	    29,446
	903147864	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	   468,151
	903147865	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666498			JOBS	1000	01	01	E001	G01	COP	    28,168
	903147866	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	    79,214
	903147867	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	    56,606
	903147868	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666551			JOBS	1100	20	01	N001	N02	COP	    33,846
	903147869	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666499			JOBS	1000	01	01	E001	G01	COP	    52,436
	903147870	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666551			JOBS	1100	20	01	N001	N02	COP	    98,805
	903147871	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666498			JOBS	1000	01	01	E001	G01	COP	    14,723
	903147872	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666498			JOBS	1000	01	01	E001	G01	COP	    85,782
	903147873	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	   383,116
	903147874	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666551			JOBS	1100	20	01	N001	N02	COP	    32,346
	903147875	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666541			JOBS	1000	01	01	E001	G01	COP	   110,814
	903147876	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	    39,114
	903147877	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	   110,018
	903147878	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666535			JOBS	1000	01	01	E001	G01	COP	    15,798
	903147879	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666534			JOBS	1000	01	01	E001	G01	COP	    26,214
	903147880	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666541			JOBS	1000	01	01	E001	G01	COP	   110,814
	903147881	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666535			JOBS	1000	01	01	E001	G01	COP	     9,075
	903147882	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666551			JOBS	1100	20	01	N001	N02	COP	    32,346
	903147883	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	   442,786
	903147884	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666533			JOBS	1000	01	01	E001	G01	COP	    17,479
	903147885	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666555			JOBS	1100	20	01	N001	N02	COP	    98,805
	903147886	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666503			JOBS	1000	01	01	E001	G01	COP	    11,428
	903147887	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	   139,151
	903147888	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	   409,121
	903147889	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666562			JOBS	1100	20	01	N001	N02	COP	   135,384
	903147890	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	    51,678
	903147891	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666554			JOBS	1000	01	01	E001	G01	COP	   177,840
	903147892	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666562			JOBS	1100	20	01	N001	N02	COP	    33,846
	903147893	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666555			JOBS	1100	20	01	N001	N02	COP	   182,493
	903147894	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666554			JOBS	1000	01	01	E001	G01	COP	   325,848
	903147895	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666533			JOBS	1000	01	01	E001	G01	COP	    26,218
	903147896	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666554			JOBS	1000	01	01	E001	G01	COP	   177,840
	903147897	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666554			JOBS	1000	01	01	E001	G01	COP	    44,859
	903147898	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666554			JOBS	1000	01	01	E001	G01	COP	    44,859
	903147899	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	   141,957
	903147900	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666554			JOBS	1000	01	01	E001	G01	COP	   267,558
	903147901	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666554			JOBS	1000	01	01	E001	G01	COP	   267,558
	903147902	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666554			JOBS	1000	01	01	E001	G01	COP	    44,859
	903147903	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	   924,038
	903147904	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666554			JOBS	1000	01	01	E001	G01	COP	    44,859
	903147905	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666554			JOBS	1000	01	01	E001	G01	COP	   222,699
	903147906	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666553			JOBS	1000	01	01	E001	G01	COP	    21,445
	903147907	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666565			JOBS	1000	01	01	E001	G01	COP	   136,020
	903147908	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666564			JOBS	1000	01	01	E001	G01	COP	   110,724
	903147909	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	    34,218
	903147910	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666552			JOBS	1000	01	01	E001	G01	COP	   189,360
	903147911	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	   568,080
	903147912	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666552			JOBS	1000	01	01	E001	G01	COP	   186,048
	903147913	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666564			JOBS	1000	01	01	E001	G01	COP	    21,445
	903147914	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	    51,678
	903147915	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666565			JOBS	1000	01	01	E001	G01	COP	   136,026
	903147916	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	   383,688
	903147917	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666553			JOBS	1000	01	01	E001	G01	COP	    21,445
	903147918	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666565			JOBS	1000	01	01	E001	G01	COP	   136,026
	903147919	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	   189,360
	903147920	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	   131,005
	903147921	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	   288,174
	903147922	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	    39,276
	903147923	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	   189,360
	903147924	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	   435,366
	903147925	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	   257,448
	903147926	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666552			JOBS	1000	01	01	E001	G01	COP	   316,284
	903147927	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666552			JOBS	1000	01	01	E001	G01	COP	   186,048
	903147928	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	   775,644
	903147929	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	    51,678
	903147930	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	   241,038
	903147931	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666496			JOBS	1000	01	01	E001	G01	COP	    13,911
	903147932	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	    78,900
	903147933	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	   241,038
	903147934	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	   581,316
	903147935	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666552			JOBS	1000	01	01	E001	G01	COP	   520,068
	903147936	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666496			JOBS	1000	01	01	E001	G01	COP	   294,024
	903147937	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666496			JOBS	1000	01	01	E001	G01	COP	   310,518
	903147938	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666563			JOBS	1000	01	01	E001	G01	COP	   624,522
